symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
MSFT,2026-02-03,2026-02-18,LONG_PUT,PUT,414.19,STOCK_PROXY,414.19,398.46,1,1573.0000000000018,0.03797773968468582,2051.999999999998,0.0,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-04,2026-02-08,LONG_PUT,PUT,393.67,STOCK_PROXY,393.67,413.6,1,-1993.0000000000007,-0.05062615896563113,0.0,-1993.0000000000007,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-05,2026-02-08,LONG_PUT,PUT,401.14,STOCK_PROXY,401.14,413.6,1,-1246.0000000000036,-0.03106147479682913,0.0,-1246.0000000000036,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-08,2026-02-22,LONG_PUT,PUT,413.6,STOCK_PROXY,413.6,384.47,1,2912.9999999999995,0.07043036750483557,2912.9999999999995,0.0,14,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-09,2026-02-22,LONG_PUT,PUT,413.27,STOCK_PROXY,413.27,384.47,1,2879.9999999999955,0.06968809736975816,2879.9999999999955,0.0,13,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-10,2026-02-25,LONG_PUT,PUT,404.37,STOCK_PROXY,404.37,401.72,1,264.9999999999977,0.006553404060637478,1989.9999999999977,0.0,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-11,2026-02-26,LONG_PUT,PUT,401.84,STOCK_PROXY,401.84,392.74,1,909.9999999999966,0.022645829185745488,1736.9999999999948,0.0,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-12,2026-03-01,LONG_PUT,PUT,401.32,STOCK_PROXY,401.32,398.55,1,276.9999999999982,0.006902222665204779,1684.9999999999966,-40.00000000000341,17,TIME_STOP,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-16,2026-03-02,LONG_PUT,PUT,396.86,STOCK_PROXY,396.86,403.93,1,-706.9999999999993,-0.017814846545381225,1238.9999999999986,-706.9999999999993,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-17,2026-03-03,LONG_PUT,PUT,399.6,STOCK_PROXY,399.6,405.2,1,-559.9999999999966,-0.014014014014013927,1512.9999999999995,-559.9999999999966,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-18,2026-03-04,LONG_PUT,PUT,398.46,STOCK_PROXY,398.46,410.68,1,-1222.0000000000027,-0.03066807207749844,1398.9999999999952,-1222.0000000000027,14,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
