symbol,asset_type,cadence,horizon_sessions,replayed_profile_count,native_not_eligible_count,matured_count,not_matured_count,directional_evaluable_count,directional_hit_count,directional_accuracy,mean_forward_return,median_forward_return,bullish_count,bullish_accuracy,bearish_count,bearish_accuracy,neutral_count,source_data_sha256,replay_result_sha256,outcome_sha256
AGG,ETF,WEEKLY,20,1134,0,1130,4,873,438,0.5017182130584192,-0.00028487116299572165,0.0002854317346617785,490,0.5122448979591837,383,0.48825065274151436,257,2abf668149f970f210b2f2a4b5f29c853e45edb0e1e41a6dec0634dafc060d1f,3dca997f2c7d80349869aac3f61bd35e05e1a80c5232ddcb9334c3da29b8b564,78c2d4b326e46a499747be02bdd0aa8803a47e76d486379f2fa54fab130dc6f1
AIG,EQUITY,WEEKLY,5,1136,0,1135,1,908,463,0.5099118942731278,0.0012813088235826174,0.0008504884856943562,539,0.5120593692022264,369,0.5067750677506775,227,5bd20a7ae2fb71899684c2c7d7971a3f8cf26d4ee9aab509f1b48ff20befd21a,c2c56ad22937c04909b4efad52c3c32751c4be0f8906a48107d4446a61a53767,76d6abccbfce801ac84c9390bb9422cb9d48d66fe18b9a0884f088ea223a62e2
AIG,EQUITY,WEEKLY,10,1136,0,1134,2,907,474,0.5226019845644984,0.002825025056026299,0.0045800886914748595,539,0.5547309833024119,368,0.47554347826086957,227,5bd20a7ae2fb71899684c2c7d7971a3f8cf26d4ee9aab509f1b48ff20befd21a,c2c56ad22937c04909b4efad52c3c32751c4be0f8906a48107d4446a61a53767,76d6abccbfce801ac84c9390bb9422cb9d48d66fe18b9a0884f088ea223a62e2
AIG,EQUITY,WEEKLY,20,1136,0,1132,4,905,465,0.5138121546961326,0.007138406899352929,0.00786021307590945,537,0.5381750465549349,368,0.4782608695652174,227,5bd20a7ae2fb71899684c2c7d7971a3f8cf26d4ee9aab509f1b48ff20befd21a,c2c56ad22937c04909b4efad52c3c32751c4be0f8906a48107d4446a61a53767,76d6abccbfce801ac84c9390bb9422cb9d48d66fe18b9a0884f088ea223a62e2
AIZ,EQUITY,WEEKLY,5,1115,0,1114,1,910,461,0.5065934065934066,0.002519714840287382,0.002880616674774461,669,0.5381165919282511,241,0.4190871369294606,204,b49457edd0ffbc264badbc169eccadd3d59a1bd56623ce458bbc465d8a8568e0,ab33b5da17d78230177e3c257fb5b3d590d72acc32997661983806366135a731,f4e5697ecb84bdc4d7e44c50306bd577e67b5db978fa2b672094a3b50a7ef488
AIZ,EQUITY,WEEKLY,10,1115,0,1113,2,909,460,0.506050605060506,0.005213528937987356,0.007289220053454226,668,0.5523952095808383,241,0.3775933609958506,204,b49457edd0ffbc264badbc169eccadd3d59a1bd56623ce458bbc465d8a8568e0,ab33b5da17d78230177e3c257fb5b3d590d72acc32997661983806366135a731,f4e5697ecb84bdc4d7e44c50306bd577e67b5db978fa2b672094a3b50a7ef488
AIZ,EQUITY,WEEKLY,20,1115,0,1111,4,907,480,0.5292171995589857,0.010621988683111082,0.014397367338543798,666,0.5960960960960962,241,0.34439834024896265,204,b49457edd0ffbc264badbc169eccadd3d59a1bd56623ce458bbc465d8a8568e0,ab33b5da17d78230177e3c257fb5b3d590d72acc32997661983806366135a731,f4e5697ecb84bdc4d7e44c50306bd577e67b5db978fa2b672094a3b50a7ef488
AJG,EQUITY,WEEKLY,5,1136,0,1135,1,901,477,0.5294117647058824,0.0021912233289594764,0.002574869275867586,667,0.5487256371814093,234,0.47435897435897434,234,27f084241879272117511e1c583c7b1b3a663faf8cd8a95b7a2f09cf472c59f6,a6ad9a098a970e024f1c8a3af52c87b8955bb394231e92a6447828520a74a02c,6ad968595fdf86f1381a3b982c29dede8d32920444262f4ce78de849106c0321
AJG,EQUITY,WEEKLY,10,1136,0,1134,2,900,482,0.5355555555555556,0.004401512993029146,0.005450076083865496,666,0.5645645645645646,234,0.452991452991453,234,27f084241879272117511e1c583c7b1b3a663faf8cd8a95b7a2f09cf472c59f6,a6ad9a098a970e024f1c8a3af52c87b8955bb394231e92a6447828520a74a02c,6ad968595fdf86f1381a3b982c29dede8d32920444262f4ce78de849106c0321
AJG,EQUITY,WEEKLY,20,1136,0,1132,4,898,480,0.534521158129176,0.008489683671306524,0.009466954620693468,664,0.5632530120481928,234,0.452991452991453,234,27f084241879272117511e1c583c7b1b3a663faf8cd8a95b7a2f09cf472c59f6,a6ad9a098a970e024f1c8a3af52c87b8955bb394231e92a6447828520a74a02c,6ad968595fdf86f1381a3b982c29dede8d32920444262f4ce78de849106c0321
