symbol,rank,signal,strike,expiry,total_score,option_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask,gamma,theta,vega,rho,option_symbol
AMD,1,CALL,380.0,2026-08-21,73.26462931663247,74.57205330296813,0.8366148642131593,70.0,54.429834937767026,100.0,100.0,35.0,-1.0,0.9057016506223298,0.8196259824621783,20981,0,0.0,0.0,0.0010157515736498868,-0.304965716776928,0.2937715675203749,0.0,O:AMD260821C00380000
AMD,2,CALL,240.0,2026-11-20,72.41846885845152,76.66994337900275,0.9280438183207584,70.0,48.19276258468961,100.0,90.0,35.0,-1.0,0.968072374153104,0.833119382871648,16779,0,0.0,0.0,0.00025523168411206796,-0.09254439002225531,0.21212295347564378,0.0,O:AMD261120C00240000
AMD,3,CALL,260.0,2026-11-20,71.52274350931408,75.47407910784378,0.9056127308522856,67.61999999999999,49.37827949500946,100.0,90.0,35.0,-1.0,0.9562172050499054,0.8280684204739805,9660,0,0.0,0.0,0.0003326550196599575,-0.11414924587575574,0.38304065520128555,0.0,O:AMD261120C00260000
AMD,4,CALL,300.0,2026-09-18,70.6208102085279,72.57529128823253,0.916204023448101,54.54399999999999,49.164521401234,100.0,100.0,35.0,-1.0,0.95835478598766,0.8375800529461599,7792,0,0.0,0.0,0.00042442984410731994,-0.1462924456087039,0.18324955598762854,0.0,O:AMD260918C00300000
AMD,5,CALL,250.0,2027-01-15,69.83621197060012,75.61129449200023,0.8902729874216486,70.0,50.00149998053713,100.0,80.0,35.0,-1.0,0.9499850001946287,0.7925758972857748,12296,0,0.0,0.0,0.00032585233208730574,-0.10318210085659103,0.4345084268717171,0.0,O:AMD270115C00250000
AMD,6,CALL,200.0,2027-01-15,69.28591759446957,75.57294108085375,0.9382481070061157,64.708,47.46406720243645,100.0,80.0,35.0,-1.0,0.9753593279756355,0.8296016691878161,9244,0,0.0,0.0,0.00017407492463663348,-0.06599988418725518,0.22229533008085853,0.0,O:AMD270115C00200000
AMD,7,CALL,300.0,2026-08-21,69.00746456920571,71.24557194401036,0.95,45.724,47.25828777604146,100.0,100.0,35.0,-1.0,0.9774171222395854,0.8629130736000841,6532,0,0.0,0.0,0.000305336222091829,-0.11932671370107963,0.14947347763988827,0.0,O:AMD260821C00300000
AMD,8,CALL,260.0,2026-09-18,68.53062706014528,70.75150374571868,0.9499503162695507,43.673,47.340964379746595,100.0,100.0,35.0,-1.0,0.9765903562025341,0.8923814573286512,6239,0,0.0,0.0,0.0002442234604656578,-0.10213155892379976,0.16961097200461586,0.0,O:AMD260918C00260000
AMD,9,CALL,300.0,2027-01-15,66.47407978941845,71.42523598076082,0.8299643910435224,59.402,53.50464135607969,100.0,80.0,35.0,-1.0,0.9149535864392031,0.7593775701152754,8486,0,0.0,0.0,0.0005182804275796515,-0.1433416039668396,0.722387948878659,0.0,O:AMD270115C00300000
AMD,10,CALL,90.0,2027-01-15,66.02535000000542,69.55300000000986,0.95,65.21199999999999,45.00000000003943,40.0,80.0,35.0,-1.0,0.9999999999996056,0.004938394541683752,9316,0,0.0,0.0,4.621051890307718e-16,-0.008756701796629612,0.00011586819530988732,0.0,O:AMD270115C00090000
AMZN,1,CALL,240.0,2026-08-21,75.55508424654688,78.73651681190341,0.7169240341987638,70.0,90.23822177581143,100.0,100.0,35.0,-1.0,0.5476177822418857,0.4037692394561701,10974,0,0.0,0.0,0.010995126836489314,-0.1534536833415593,0.35882189076687326,0.0,O:AMZN260821C00240000
AMZN,2,CALL,250.0,2026-08-21,74.61116641841006,77.02030257892739,0.620275686212575,70.0,98.83710052169754,100.0,100.0,35.0,-1.0,0.4383710052169755,0.39267480254070536,27705,0,0.0,0.0,0.011108037623159974,-0.14498297073780542,0.3697689575970082,0.0,O:AMZN260821C00250000
AMZN,3,CALL,255.0,2026-08-21,72.7050202733877,73.55458231525036,0.5677441738706858,70.0,93.37926144169171,100.0,100.0,35.0,-1.0,0.38379261441691703,0.387918285341578,11059,0,0.0,0.0,0.010984857676356711,-0.13915068678192838,0.32843036714435425,0.0,O:AMZN260821C00255000
AMZN,4,CALL,260.0,2026-09-18,71.36694480414093,71.12171782571077,0.5112027762324822,70.0,92.69442710564594,100.0,100.0,35.0,-1.0,0.37694427105645945,0.37477910665789876,11716,0,0.0,0.0,0.009086317581100014,-0.10904216143222943,0.4115925962293391,0.0,O:AMZN260918C00260000
AMZN,5,CALL,250.0,2026-09-18,71.23298260381036,73.1079683705643,0.6008117363871149,57.736,98.5659956603188,100.0,100.0,35.0,-1.0,0.464340043396812,0.375486306213372,8248,0,0.0,0.0,0.009441024701839863,-0.11510846924913402,0.45658349086002986,0.0,O:AMZN260918C00250000
AMZN,6,CALL,260.0,2026-08-21,70.8719639069697,70.22175255812671,0.5135002164473027,70.0,88.7269756009384,100.0,100.0,35.0,-1.0,0.33726975600938414,0.38983587197740915,37786,0,0.0,0.0,0.010333194734297401,-0.13162984669293984,0.3331035840989543,0.0,O:AMZN260821C00260000
AMZN,7,CALL,250.0,2026-12-18,70.70046197247405,73.54629449540735,0.5682623635324998,70.0,93.26319981642945,100.0,90.0,35.0,-1.0,0.5173680018357054,0.3776429564735242,11103,0,0.0,0.0,0.006453257530992521,-0.08301517938055665,0.6591491137607421,0.0,O:AMZN261218C00250000
