symbol,relative_path,sha256,fieldnames,date_candidates,close_candidates
CDNS,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CDNS.daily.csv.gz,04918709e17d65fc06fc0324829bf7d780afc2eef827b587fab1737967262f72,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CDW,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CDW.daily.csv.gz,7df3530e87c7cbb9b643b00e9e6a6ffbc3275d0d7ad1e68099a984fb3c42d6f1,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CEG,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CEG.daily.csv.gz,48e17ae97dbc3ad62b26a35eb4beb1d88164f86d78c42ad64882f8144d2c3190,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CF,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CF.daily.csv.gz,86bac5de5ad40b688c89c0b9ac1f240f90333835f059b9897ca54c733f5016f1,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CFG,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CFG.daily.csv.gz,d32db39f6ead4e02e6578af6bb4e16962f7d74ea2253558d9153e5732c1f3cae,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CHD,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CHD.daily.csv.gz,94ba102d1189f294cfb0eb15e9d6bd673dd3379a48a2e849094fb7ddee9a8fb1,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CHRW,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CHRW.daily.csv.gz,c9da0f0cc1ada3e5bf8ccf5b6b96f378cb0bc868e8a78f536ee31ba495d36b7f,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CHTR,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CHTR.daily.csv.gz,6329eac2c89b96ce59eda2bfa67482b01677f30ef5c7249471cdb86ecaae2b44,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CI,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CI.daily.csv.gz,b9ebc5a074ff7e4ff86911d65d8863eaea01495852a07071d57ca7d781793d6b,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CIBR,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CIBR.daily.csv.gz,8b39f3e6c75c2666004cb10ac445d86ceb0750a010be9d5b63857e252c200b86,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CIEN,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CIEN.daily.csv.gz,d583dc3b5d1a1cf7e5e84d23d029caf72edcbd87601a46c7e573b225b0095316,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CINF,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CINF.daily.csv.gz,9b97b90a6bb033987f0240ddf3ee9246325fe08ff366eaffcbbf47d715ec889a,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CL,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CL.daily.csv.gz,79493392cb9dd3db9a43f81b6bd44f373f84a7e9f3f7d1a5a4e2a049b508b495,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CLX,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CLX.daily.csv.gz,a0b86e0c2e61de0b36bbfcb0f5d7966121613194db95fe5f6e1ef5688b313c75,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CMCSA,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CMCSA.daily.csv.gz,44229d5d6999633dbe3ce3d6c281b9b8805c3bd0608ad575b3165244b77d37d9,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CME,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CME.daily.csv.gz,a99c98c3595f7c0959cb551ac9906251cb8d285e222672e00a23960d5fb735a1,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CMG,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CMG.daily.csv.gz,49d8e0d28b708fef96f164b604bcf95994d373d577d5ce13fbe801d852d27b81,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CMI,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CMI.daily.csv.gz,e8c6ea3a5506b6101d560ed6d54c4f0c272f6ed32dc60b41b37ae6a1f60437f1,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
