component_path,state,horizon_sessions,count,accuracy,accuracy_risk_difference_vs_all_bearish,mean_directional_return,mean_return_difference_vs_all_bearish,odds_ratio_correct_vs_all_other_bearish
timeframe_states.1w.direction,STRONG_BULLISH,5,1204,0.45348837209302323,-0.007848258170044309,-0.007752258710479036,0.01682319826318198,0.9687663661527521
timeframe_states.1w.direction,WEAK_BEARISH,5,7430,0.4604306864064603,-0.0009059438566072497,-0.0023620860555231445,0.02221337091813787,0.9961854602190869
timeframe_states.1w.direction,WEAK_BULLISH,5,5067,0.46220643378725085,0.0008698035241833102,-0.002388096023574957,0.022187360950086058,1.003661461521514
timeframe_states.1w.direction,BEARISH,10,27390,0.4443957648776926,0.003024417999513751,-0.004517812926354253,0.0233522114948576,1.0152238268586278
timeframe_states.1w.direction,BULLISH,10,2897,0.45875043148084227,0.01737908460266341,-0.006272580428079746,0.02159744399313211,1.0743458849680911
timeframe_states.1w.direction,NEUTRAL,10,2986,0.45244474212993974,0.011073395251760876,-0.004954736123746457,0.0229152882974654,1.046869527911808
timeframe_states.1w.direction,STRONG_BEARISH,10,98532,0.4389132464580035,-0.0024581004201753576,-0.03874226732412672,-0.010872242902914869,0.9696009544341682
timeframe_states.1w.direction,STRONG_BULLISH,10,1204,0.4642857142857143,0.02291436740753544,-0.013661879365385857,0.014208145055825997,1.0978904431219638
timeframe_states.1w.direction,WEAK_BEARISH,10,7420,0.44716981132075473,0.005798464442575868,-0.004614088861091501,0.02325593556012035,1.025086375003748
timeframe_states.1w.direction,WEAK_BULLISH,10,5063,0.44242543946276913,0.0010540925845902716,-0.005948580562184901,0.021921443859026953,1.0044826338440707
timeframe_states.1w.direction,BEARISH,20,27348,0.4366315635512652,0.00946741527053685,-0.008806516050365447,0.03884923295930613,1.0487226106260081
timeframe_states.1w.direction,BULLISH,20,2894,0.43711126468555633,0.009947116404827983,-0.013100723833613857,0.03455502517605773,1.0423202095186572
timeframe_states.1w.direction,NEUTRAL,20,2983,0.43513241702983574,0.007968268749107388,-0.011535630498321793,0.03612011851134979,1.0338182585862539
timeframe_states.1w.direction,STRONG_BEARISH,20,98386,0.4239322667859248,-0.0032318814948035235,-0.06549360449052676,-0.017837855480855175,0.959935971854889
timeframe_states.1w.direction,STRONG_BULLISH,20,1201,0.41881765195670273,-0.00834649632402562,-0.02548009024364194,0.02217565876602964,0.9663714052501567
timeframe_states.1w.direction,WEAK_BEARISH,20,7394,0.4331890722207195,0.006024923939991156,-0.009067957140263913,0.03858779186940767,1.0262738090361305
timeframe_states.1w.direction,WEAK_BULLISH,20,5059,0.4216248270409172,-0.005539321239811157,-0.013489555942068156,0.03416619306760342,0.9768409853868139
timeframe_states.1w.confidence,60-80,5,5729,0.45452958631523827,-0.006807043947829272,-0.007053242229183612,0.017522214744477405,0.9718888777214812
timeframe_states.1w.confidence,80-100,5,139861,0.46161546106491447,0.0002788308018469299,-0.02529320365265747,-0.0007177466789964546,1.0289242144065103
timeframe_states.1w.confidence,60-80,10,5729,0.4489439692791063,0.007572622400927431,-0.012446495913193061,0.015423528508018793,1.0324692948143066
timeframe_states.1w.confidence,80-100,10,139763,0.4410609388750957,-0.0003104080030831846,-0.028502247504735005,-0.0006322230835231514,0.9685518058722062
timeframe_states.1w.confidence,60-80,20,5726,0.4271742926999651,1.0144419236746138e-05,-0.02390791242576109,0.02374783658391049,1.0000929967348617
timeframe_states.1w.confidence,80-100,20,139539,0.42716373200323926,-4.1627748909034423e-07,-0.04863024440006028,-0.0009744953903886994,0.9999070119127267
timeframe_states.1mo.direction,BEARISH,5,9705,0.45131375579598143,-0.010022874467086107,-0.003154113709014528,0.021421343264646488,0.957660176073039
timeframe_states.1mo.direction,BULLISH,5,10490,0.4581506196377502,-0.003186010625317315,-0.0030477188490398406,0.021527738124621176,0.9862871369304413
timeframe_states.1mo.direction,MISSING,5,2859,0.4879328436516264,0.026596213388558887,-0.008154994797189476,0.01642046217647154,1.114989040953411
timeframe_states.1mo.direction,NEUTRAL,5,2462,0.46588139723801786,0.0045447669749503206,-0.0013696467648144303,0.023205810208846586,1.0188200847987254
timeframe_states.1mo.direction,STRONG_BEARISH,5,65596,0.46883956338801147,0.0075029331249439335,-0.050006837488429115,-0.0254313805147681,1.0564793268989547
timeframe_states.1mo.direction,STRONG_BULLISH,5,46775,0.45269909139497594,-0.008637538868091599,-0.0038881566788315424,0.020687300294829472,0.9500425289264689
timeframe_states.1mo.direction,WEAK_BEARISH,5,3510,0.4527065527065527,-0.008630077556514848,-0.00404027722549455,0.020535179748166467,0.9650428373949723
timeframe_states.1mo.direction,WEAK_BULLISH,5,4193,0.45790603386596707,-0.0034305963971004716,-0.0029510904979640523,0.021624366475696963,0.9859175453472347
timeframe_states.1mo.direction,BEARISH,10,9699,0.4390143313743685,-0.0023570155038103446,-0.005503752469480243,0.02236627195173161,0.9898281784323164
timeframe_states.1mo.direction,BULLISH,10,10484,0.4369515452117512,-0.004419801666427636,-0.006610045742293245,0.021259978678918608,0.9808711045714342
timeframe_states.1mo.direction,MISSING,10,2859,0.478139209513816,0.03676786263563714,-0.013388373858373218,0.014481650562838635,1.1631338526484187
timeframe_states.1mo.direction,NEUTRAL,10,2462,0.44191714053614944,0.0005457936579705835,-0.004051142802600541,0.02381888161861131,1.0023481354222923
timeframe_states.1mo.direction,STRONG_BEARISH,10,65550,0.44918382913806254,0.00781248225988368,-0.05321051665062051,-0.025340492229408654,1.0593458609368722
timeframe_states.1mo.direction,STRONG_BULLISH,10,46744,0.4315206229676536,-0.009850723910525272,-0.0074864299929467805,0.020383594428265074,0.9427640315628271
timeframe_states.1mo.direction,WEAK_BEARISH,10,3503,0.4302026834142164,-0.011168663463962447,-0.006851951672844815,0.02101807274836704,0.9545991618214453
timeframe_states.1mo.direction,WEAK_BULLISH,10,4191,0.4294917680744452,-0.011879578803733637,-0.005257997408189481,0.022612027013022375,0.9515256744289903
timeframe_states.1mo.direction,BEARISH,20,9687,0.42056364199442553,-0.006600506286302821,-0.012066324822643706,0.035589424187027874,0.97148956354692
timeframe_states.1mo.direction,BULLISH,20,10473,0.4233743912918934,-0.003789756988834936,-0.012483661587359985,0.03517208742231159,0.9834573945418208
timeframe_states.1mo.direction,MISSING,20,2856,0.48564425770308123,0.05848010942235288,-0.02049151437398632,0.02716423463568526,1.2722725636134846
timeframe_states.1mo.direction,NEUTRAL,20,2458,0.40602115541090317,-0.021142992869825183,-0.014654118392112711,0.03300163061755887,0.9154511688053586
timeframe_states.1mo.direction,STRONG_BEARISH,20,65450,0.4341787624140565,0.007014614133328156,-0.08726160852825852,-0.039605859518586944,1.0535419976983538
timeframe_states.1mo.direction,STRONG_BULLISH,20,46661,0.4188508604616275,-0.008313287819100845,-0.01634852930576075,0.03130721970391083,0.9511190949950944
timeframe_states.1mo.direction,WEAK_BEARISH,20,3493,0.4159748067563699,-0.011189341524358465,-0.012328932728171602,0.03532681628149998,0.954165409025473
