family,state,horizon_sessions,count,accuracy,mean,median,p25,p75,eligible_for_interpretation
LIFECYCLE,ESTABLISHED,20,68324,0.4231602365201101,-0.01618775808717282,-0.014312911700297248,-0.06983319197059679,0.040295119182746975,True
LIFECYCLE,PERSISTENT_LATE,5,25381,0.4608171466845278,-0.00874858787308778,-0.0032005875575635834,-0.034178610804851184,0.025426807119506067,True
LIFECYCLE,PERSISTENT_LATE,10,25360,0.4374211356466877,-0.01630300751167709,-0.008527844249997973,-0.051331719128329345,0.03219415552253602,True
LIFECYCLE,PERSISTENT_LATE,20,25309,0.4164921569402189,-0.09660598717257228,-0.017345986309894146,-0.08103448275862069,0.04105263157894745,True
NATIVE_CLASS,BEARISH,5,77190,0.45630262987433606,-0.003708472230060491,-0.0032679738562092497,-0.027578947368421147,0.019937405818940546,True
NATIVE_CLASS,BEARISH,10,77130,0.43924542979385456,-0.006922039201846554,-0.006747351543890945,-0.04121269540502137,0.026394125818614778,True
NATIVE_CLASS,BEARISH,20,76987,0.42556535518983724,-0.014339534324236578,-0.012146289375333685,-0.06202143950995387,0.03507871321013012,True
NATIVE_CLASS,STRONG_BEARISH,5,68400,0.4670175438596491,-0.048124032300540784,-0.003312812028472667,-0.03489650406759437,0.027724665391969494,True
NATIVE_CLASS,STRONG_BEARISH,10,68362,0.44376993066323395,-0.05150476448103467,-0.008343554607642023,-0.05187637969094916,0.0350605463249789,True
NATIVE_CLASS,STRONG_BEARISH,20,68278,0.42896687073435075,-0.08522151572790504,-0.015779132528496165,-0.08029420778424745,0.048169556840077066,True
OVERLAY::BREAKDOWN_CONFIRMED,EARLY_TRANSITION::False,5,50326,0.46361721575328857,-0.0027223102553365327,-0.0030044691330632922,-0.02890316205533594,0.022144266608199903,True
OVERLAY::BREAKDOWN_CONFIRMED,EARLY_TRANSITION::False,10,50295,0.4495079033701163,-0.005068347695867758,-0.005994815294880107,-0.04172197989759163,0.02886140183951791,True
OVERLAY::BREAKDOWN_CONFIRMED,EARLY_TRANSITION::False,20,50206,0.4377763613910688,-0.010944471860335012,-0.011205035161001131,-0.06392694063926951,0.040115770343945534,True
OVERLAY::BREAKDOWN_CONFIRMED,EARLY_TRANSITION::True,5,1428,0.4740896358543417,-2.0795293498877347,-0.0036685732475530974,-0.050244553134726644,0.04078762306610406,True
OVERLAY::BREAKDOWN_CONFIRMED,EARLY_TRANSITION::True,10,1428,0.43557422969187676,-2.0190645895508554,-0.013154150975903889,-0.07299270072992692,0.04369961815867629,True
OVERLAY::BREAKDOWN_CONFIRMED,EARLY_TRANSITION::True,20,1426,0.43478260869565216,-1.9791170496292392,-0.020287919232005458,-0.10979000429485297,0.07179312691391626,True
OVERLAY::BREAKDOWN_CONFIRMED,ESTABLISHED::False,5,64893,0.4575069730171205,-0.00364300182515553,-0.0035725222006737223,-0.03005725190839681,0.022372180679676612,True
OVERLAY::BREAKDOWN_CONFIRMED,ESTABLISHED::False,10,64847,0.43614970623159127,-0.007316436527291776,-0.0080190080190079,-0.045306407081661115,0.029000000000000026,True
OVERLAY::BREAKDOWN_CONFIRMED,ESTABLISHED::False,20,64763,0.42190757068078993,-0.015669711495767808,-0.01418037436188313,-0.06803856136447917,0.038961038961038974,True
OVERLAY::BREAKDOWN_CONFIRMED,ESTABLISHED::True,5,3562,0.4974733295901179,-0.003626237225982039,-0.0005437991898948891,-0.04870417687855255,0.0499563318777293,True
OVERLAY::BREAKDOWN_CONFIRMED,ESTABLISHED::True,10,3562,0.4519932622122403,-0.008095334606178032,-0.009916804513884103,-0.07626416137054459,0.06262961426793856,True
OVERLAY::BREAKDOWN_CONFIRMED,ESTABLISHED::True,20,3561,0.445942151081157,-0.02560933949665411,-0.017809776430466107,-0.11644127562289297,0.0764497041420118,True
OVERLAY::BREAKDOWN_CONFIRMED,PERSISTENT_LATE::False,5,22907,0.46025232461692933,-0.007677360568351588,-0.003094378545642096,-0.032297700544146046,0.023816117418997473,True
OVERLAY::BREAKDOWN_CONFIRMED,PERSISTENT_LATE::False,10,22888,0.438395665851101,-0.01409569420304609,-0.007931591910075864,-0.04845634839501134,0.030906389301634474,True
