symbol,asset_type,horizon_sessions,directional_evaluable_count,directional_hit_count,directional_accuracy,bullish_count,bullish_accuracy,bearish_count,bearish_accuracy,neutral_count,always_bullish_accuracy,previous_period_direction_accuracy,edge_vs_random_50_50,edge_vs_always_bullish,edge_vs_previous_period_direction,mean_directional_return,median_directional_return,payoff_ratio
MSI,EQUITY,5,754,394,0.5225464190981433,539,0.5510204081632653,215,0.4511627906976744,167,0.5526601520086862,0.4840834248079034,0.022546419098143256,-0.03011373291054298,0.03846299429023986,0.0006687656680771426,0.0013242290475167784,0.9553131742844307
MSI,EQUITY,10,753,389,0.5166002656042497,538,0.5520446096654275,215,0.42790697674418604,167,0.5554347826086956,0.4945054945054945,0.016600265604249653,-0.038834517004445956,0.022094771098755128,-0.014446193791033351,0.0017323516673883876,0.5634603655094155
MSI,EQUITY,20,751,390,0.5193075898801598,536,0.5671641791044776,215,0.4,167,0.5740740740740741,0.5098468271334792,0.019307589880159792,-0.05476648419391428,0.009460762746680618,-0.06018032400642993,0.004195459032576565,0.32629921728258593
MSTR,EQUITY,5,880,425,0.48295454545454547,509,0.4950884086444008,371,0.46630727762803237,255,0.5030837004405286,0.4907488986784141,-0.01704545454545453,-0.020129154985983166,-0.007794353223868622,0.0026715171109462014,-0.0012595680544476018,1.180609292577822
MSTR,EQUITY,10,879,423,0.4812286689419795,509,0.5049115913555993,370,0.4486486486486487,255,0.5211640211640212,0.4969108561341571,-0.01877133105802048,-0.03993535222204164,-0.015682187192177566,0.00509734998526215,-0.002767892447607778,1.2249962214195258
MSTR,EQUITY,20,877,431,0.49144811858608894,509,0.5265225933202358,368,0.4429347826086957,255,0.5335689045936396,0.4902654867256637,-0.008551881413911055,-0.04212078600755065,0.0011826318604252206,0.008707134260835267,-0.0009454147385182798,1.1970764311269553
MTB,EQUITY,5,893,416,0.4658454647256439,602,0.46511627906976744,291,0.46735395189003437,242,0.4995594713656388,0.47178130511463845,-0.03415453527435608,-0.033714006639994853,-0.005935840388994529,-0.0015290530628420953,-0.0021299254526090383,1.0341767469994305
MTB,EQUITY,10,892,416,0.4663677130044843,601,0.4925124792013311,291,0.41237113402061853,242,0.5414462081128748,0.47707231040564374,-0.03363228699551568,-0.07507849510839049,-0.010704597401159421,-0.002789635488336741,-0.003054251993790169,1.0017319080199496
MTB,EQUITY,20,890,407,0.45730337078651684,599,0.5041736227045075,291,0.36082474226804123,242,0.5662544169611308,0.46106194690265484,-0.04269662921348316,-0.10895104617461393,-0.0037585761161380016,-0.006711251895808062,-0.006254782926002622,0.9435627238632487
MTD,EQUITY,5,961,516,0.5369406867845994,727,0.5708390646492435,234,0.43162393162393164,174,0.5612334801762114,0.5039717563989409,0.036940686784599386,-0.024292793391612055,0.03296893038565851,0.0017782365322816774,0.002827466820542357,0.9787666467909344
MTD,EQUITY,10,960,519,0.540625,726,0.5757575757575758,234,0.43162393162393164,174,0.5687830687830688,0.5198587819947044,0.04062500000000002,-0.028158068783068813,0.020766218005295656,0.0027699763085306402,0.003641302059599283,0.9795633343813699
MTD,EQUITY,20,958,511,0.5334029227557411,724,0.5773480662983426,234,0.3974358974358974,174,0.5848056537102474,0.5017667844522968,0.03340292275574108,-0.051402730954506315,0.03163613830344425,0.0034671688630377247,0.00621063824625101,0.9869689322264384
MTUM,ETF,5,531,296,0.5574387947269304,431,0.5777262180974478,100,0.47,103,0.5694006309148265,0.4864864864864865,0.057438794726930364,-0.011961836187896147,0.07095230824044385,0.0013425810721551497,0.002558221594918919,0.9144473667678961
MTUM,ETF,10,530,312,0.5886792452830188,430,0.6186046511627907,100,0.46,103,0.6034755134281201,0.5118483412322274,0.08867924528301885,-0.014796268145101266,0.0768309040507914,0.002561046041337981,0.005324707906035231,0.849880655870503
MTUM,ETF,20,530,329,0.620754716981132,430,0.672093023255814,100,0.4,101,0.652931854199683,0.5625990491283677,0.12075471698113205,-0.03217713721855098,0.05815566785276438,0.0033248612977716412,0.011408758435428823,0.7278624523352769
MU,EQUITY,5,903,471,0.521594684385382,547,0.5301645338208409,356,0.5084269662921348,232,0.5233480176211454,0.4995571302037201,0.021594684385382035,-0.0017533332357633213,0.022037554181661922,0.0024218794495163114,0.003330689928628061,1.003960685621834
MU,EQUITY,10,902,470,0.5210643015521065,546,0.554945054945055,356,0.4691011235955056,232,0.5476190476190477,0.4862710363153233,0.02106430155210648,-0.026554746066941193,0.034793265236783166,0.007409097539603943,0.0025907700338058115,1.1186999920538234
MU,EQUITY,20,902,518,0.5742793791574279,546,0.5824175824175825,356,0.5617977528089888,230,0.5388692579505301,0.5168141592920354,0.07427937915742788,0.03541012120689779,0.057465219865392436,0.021456757360888184,0.023774160909915687,1.0946663587126109
NBIS,EQUITY,5,25,11,0.44,22,0.5,3,0.0,8,0.6060606060606061,0.3939393939393939,-0.06,-0.16606060606060608,0.04606060606060608,-0.008062609826419985,-0.014193604223462719,1.100570082820295
NBIS,EQUITY,10,24,11,0.4583333333333333,21,0.5238095238095238,3,0.0,8,0.625,0.46875,-0.041666666666666685,-0.16666666666666669,-0.010416666666666685,0.022134201825823794,-0.030026938332764375,1.553879476324968
NBIS,EQUITY,20,24,15,0.625,21,0.7142857142857143,3,0.0,6,0.7,0.6,0.125,-0.07499999999999996,0.025000000000000022,0.12496286414072814,0.15626902117014874,1.8203741264423823
NCLH,EQUITY,5,493,217,0.44016227180527384,271,0.4797047970479705,222,0.3918918918918919,154,0.5316846986089645,0.47213622291021673,-0.05983772819472616,-0.09152242680369066,-0.03197395110494289,-0.004328915167480094,-0.007482629609834257,1.0749662047425779
NCLH,EQUITY,10,492,211,0.42886178861788615,271,0.45387453874538747,221,0.39819004524886875,154,0.5201238390092879,0.5085271317829457,-0.07113821138211385,-0.09126205039140178,-0.07966534316505958,-0.0077551816403905426,-0.012729137300242277,1.072329085392845
NCLH,EQUITY,20,490,206,0.4204081632653061,271,0.46494464944649444,219,0.365296803652968,154,0.5388198757763976,0.4797507788161994,-0.07959183673469389,-0.11841171251109145,-0.05934261555089326,-0.027102115085003698,-0.02914407554066406,0.8208298005008553
NDAQ,EQUITY,5,848,429,0.5058962264150944,611,0.5400981996726678,237,0.4177215189873418,213,0.5447690857681433,0.480188679245283,0.005896226415094352,-0.03887285935304896,0.02570754716981133,-0.001419874729932327,0.0008332541139087768,0.8882508626514873
NDAQ,EQUITY,10,847,450,0.5312868949232585,610,0.5737704918032787,237,0.4219409282700422,213,0.569811320754717,0.49528301886792453,0.031286894923258535,-0.03852442583145843,0.036003876055334005,-0.00047062238282575224,0.003773717724077974,0.8628570006852394
NDAQ,EQUITY,20,845,439,0.5195266272189349,608,0.5855263157894737,237,0.350210970464135,213,0.5954631379962193,0.5156102175969726,0.019526627218934944,-0.07593651077728436,0.00391640962196238,0.0008138882734205292,0.004325674325674322,0.950550712231281
