symbol,row_count,development_row_count,validation_row_count,final_holdout_row_count,nearest_destination_available_count,atr_available_count,materialization_file,materialization_sha256
CB,186,94,67,25,186,186,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CB.jsonl.gz,3b177a855a5a0214bc98700c6e7f92f2ee94b3cf937a90831c5c59ff9a2fa7f5
CBOE,150,47,87,16,150,150,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CBOE.jsonl.gz,670647c330bef2b45cdc9bdf5515c8495fa5b207139b862b9d344127af512cde
CBRE,86,0,48,38,86,86,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CBRE.jsonl.gz,5f9d4765deb3773d366f38af4e8cd7224b7b18aa3be49337250b8a0d71fbedb5
CCEP,70,0,55,15,70,70,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CCEP.jsonl.gz,9dece317edb94010dded556cc17e7536fb02c9044b1eb8f7d316d3cf2bea35c3
CCI,271,92,62,117,271,271,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CCI.jsonl.gz,eb4fa37284a7f557b7feab6132d514ee44926add028dfd9582f6fa12bd27e01d
CCL,414,220,144,50,414,414,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CCL.jsonl.gz,f79871aeb35280e0836a9b7e20344ac003abaee000739c10383f2419906e5a9b
CDNS,200,119,46,35,200,200,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CDNS.jsonl.gz,3dc11214956c9245157d1860ef02181a680b8f4fc1657c438a1147c327e6c89f
CDW,147,18,45,84,147,147,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CDW.jsonl.gz,faa2fac2be0a43227709601ec9c927a8cbdcec3522c2e450964ef97e018403bb
CEG,31,0,0,31,31,31,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CEG.jsonl.gz,f715d03038002070c12c53df577891ba675f22715d5c97ad2a85b5f31334d4e0
CF,264,127,70,67,264,264,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CF.jsonl.gz,26c0ac5b7a1f6e853746260c48f9e2563381794428a48715cb5d491c8e5fa78c
CFG,150,21,92,37,150,150,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CFG.jsonl.gz,1bb7749ef1b5aeb45c791b4c266dc9c53379a955cdb7e292487b29ef5e209cd8
CHD,201,93,59,49,201,201,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CHD.jsonl.gz,0cb32e630fec4c245696d00fb629bb5ae558c38d9262c55456a8caa8d51df1b9
CHRW,328,178,84,66,328,328,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CHRW.jsonl.gz,54ace6a4f2e2c55038cd961fd013c5de565a97973b6b3d4f44f6aecf54b0d264
CHTR,357,176,77,104,357,357,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CHTR.jsonl.gz,242546a174b3deab3e47443a226e69580e8cce86f57f5fb1602221f708850840
CI,273,132,72,69,273,273,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CI.jsonl.gz,179728f439533e6f6e722549e95da823cfdd009a1638aa9fc2dd2f8cda68f4ca
CIBR,83,3,55,25,83,83,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CIBR.jsonl.gz,b719ae0cd350f0d2aeb637b9dcb2e0f07d2b1f028c268ae65a782a17ace973e8
CIEN,313,203,63,47,313,313,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CIEN.jsonl.gz,e47e247cba36ba9c4854f1edcc2e3dcba2ea858bb9567bc1702a969abe489b91
CINF,299,193,67,39,298,299,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CINF.jsonl.gz,e6e20db00be04b3a6d1996d416fe4672544491ff5207a2c4cdd41b9d74eeefb3
CL,278,115,88,75,278,278,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CL.jsonl.gz,be5e87918fadccda143e2fc4681fd3580c571052295ad544fd870fe3fbdc44d4
CLX,331,135,101,95,331,331,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CLX.jsonl.gz,f4918cd7c7bca2a88a31506575fdbc42b897a7bbae9f93358cc7a2e6216e3bca
CMCSA,306,126,84,96,306,306,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CMCSA.jsonl.gz,09fa8faf43174ae94ccc01e464c5e28ce28ea2d0be83671ef7adbab2fe543b4b
CME,284,176,73,35,284,284,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CME.jsonl.gz,bd7702526d389357fd1447dd111f19b5f2fdaf45236bd5feb667ff916960c6f8
CMG,264,153,47,64,264,264,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CMG.jsonl.gz,843a2735fe3d58fc609a0d40cbd6aa39502a33290a340cea3423db9f46efd9da
CMI,248,135,83,30,248,248,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CMI.jsonl.gz,f42d41d1d6a66f9b4786530bd2ecb6eed236ee8cc0f14817b01774c7e65e655d
CMS,222,114,58,50,222,222,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CMS.jsonl.gz,117b8be3aef75d56cdae425a125049a22153a1f2a4a5b6e17c828e80964594cd
CNC,355,203,67,85,355,355,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CNC.jsonl.gz,faaf4ec42703ff0aa2afcc2571838fd2597f6b726146c2e3c6ad6cb09fd74a16
