symbol,asset_type,cadence,status,replay_start,replay_end,observation_count,replayed_profile_count,native_not_eligible_count,source_data_sha256,result_sha256,resumed,blockers
EG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EG 2024-09-20: native profile missing direction/score/confidence
EIX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EIX 2004-11-19: native profile missing direction/score/confidence
EL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EL 2004-11-19: native profile missing direction/score/confidence
ELV,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ELV 2023-09-08: native profile missing direction/score/confidence
EME,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EME 2004-11-19: native profile missing direction/score/confidence
EMR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EMR 2004-11-19: native profile missing direction/score/confidence
EOG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EOG 2004-11-19: native profile missing direction/score/confidence
EQIX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EQIX 2004-11-19: native profile missing direction/score/confidence
EQR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EQR 2004-11-19: native profile missing direction/score/confidence
EQT,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EQT 2004-11-19: native profile missing direction/score/confidence
ERIE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ERIE 2004-11-19: native profile missing direction/score/confidence
ES,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ES 2009-01-30: native profile missing direction/score/confidence
ESS,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ESS 2004-11-19: native profile missing direction/score/confidence
ETHA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ETHA 2025-10-03: native profile missing direction/score/confidence
ETN,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ETN 2004-11-19: native profile missing direction/score/confidence
ETR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ETR 2004-11-19: native profile missing direction/score/confidence
EVRG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EVRG 2019-08-16: native profile missing direction/score/confidence
EW,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EW 2004-11-19: native profile missing direction/score/confidence
EWJ,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EWJ 2004-11-19: native profile missing direction/score/confidence
EWZ,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EWZ 2004-11-19: native profile missing direction/score/confidence
EXC,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EXC 2004-11-19: native profile missing direction/score/confidence
EXE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EXE 2025-12-12: native profile missing direction/score/confidence
