symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AMZN,2026-04-30,2026-05-14,LONG_CALL,CALL,268.26,STOCK_PROXY,268.26,264.14,1,-413.40000000000043,-0.015410422724222786,673.0000000000018,-412.00000000000045,14,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-03,2026-05-07,LONG_CALL,CALL,276.83,STOCK_PROXY,276.83,293.32,1,1647.6000000000008,0.05951667088104616,1649.000000000001,0.0,4,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-05-03,2026-05-17,LONG_CALL,CALL,272.05,STOCK_PROXY,272.05,264.86,1,-720.3999999999997,-0.026480426392207306,293.9999999999998,-791.0000000000025,14,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AMZN,2026-05-04,2026-05-14,LONG_CALL,CALL,273.55,STOCK_PROXY,273.55,264.14,1,-942.4000000000025,-0.03445074026686173,143.99999999999977,-941.0000000000025,10,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-05,2026-05-19,LONG_CALL,CALL,287.51,STOCK_PROXY,287.51,302.25,1,1472.6000000000008,0.051219088031720664,1474.000000000001,-6.999999999999318,14,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-05-05,2026-05-11,LONG_CALL,CALL,274.99,STOCK_PROXY,274.99,265.82,1,-918.4000000000016,-0.03339757809374892,0.0,-917.0000000000016,6,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-06,2026-05-19,LONG_CALL,CALL,287.44,STOCK_PROXY,287.44,302.25,1,1479.6000000000001,0.0514750904536599,1481.0000000000002,0.0,13,TAKE_PROFIT,80.0,80.0,0.0,0.0,100.0
AMZN,2026-05-06,2026-05-18,LONG_CALL,CALL,271.17,STOCK_PROXY,271.17,259.34,1,-1184.4000000000042,-0.0436773979422504,150.9999999999991,-1183.000000000004,12,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-07,2026-05-21,LONG_CALL,CALL,293.32,STOCK_PROXY,293.32,308.82,1,1548.6,0.05279558161734624,1550.0,-63.999999999998636,14,TAKE_PROFIT,60.0,60.0,0.0,0.0,100.0
AMZN,2026-05-07,2026-05-14,LONG_CALL,CALL,272.68,STOCK_PROXY,272.68,264.14,1,-855.400000000002,-0.031370104151386316,0.0,-854.000000000002,7,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
