symbol,evaluated_rows,invalid_price_rows,invalid_ohlc_rows,negative_volume_rows,zero_volume_rows,non_finite_rows,extreme_return_rows,maximum_absolute_return,quality_score,status,warnings,rejection_reasons
IBB,252,0,0,0,0,0,0,0.0431855,100.0,READY,,
IBIT,252,0,0,0,0,0,0,0.13158531,100.0,READY,,
IBKR,252,0,0,0,0,0,0,0.07785414,100.0,READY,,
IBM,252,0,0,0,0,0,0,0.25207594,100.0,READY,,
ICE,252,0,0,0,0,0,0,0.0777865,100.0,READY,,
ICLN,252,0,0,0,0,0,0,0.07705631,100.0,READY,,
IDXX,252,0,0,0,0,0,0,0.27493755,100.0,READY,,
IEF,252,0,0,0,0,0,0,0.00898267,100.0,READY,,
IEX,252,0,1,0,0,0,0,0.11286313,95.0,REVIEW,1 rows violate OHLC relationships.,
IFF,252,0,0,0,0,0,0,0.17182428,100.0,READY,,
IGV,252,0,0,0,0,0,0,0.06250003,100.0,READY,,
IHI,252,0,0,0,0,0,0,0.04693141,100.0,READY,,
INCY,252,0,0,0,0,0,0,0.10290754,100.0,READY,,
INDA,252,0,0,0,0,0,0,0.04032939,100.0,READY,,
INTC,252,0,0,0,0,0,0,0.23599884,100.0,READY,,
INTU,252,0,0,0,0,0,0,0.20019271,100.0,READY,,
INVH,252,0,0,0,0,0,0,0.06014237,100.0,READY,,
IP,252,0,0,0,0,0,0,0.12847286,100.0,READY,,
IQV,252,0,0,0,0,0,0,0.1787871,100.0,READY,,
IR,252,0,0,0,0,0,0,0.11402569,100.0,READY,,
IRM,252,0,0,0,0,0,0,0.10015719,100.0,READY,,
ISRG,252,0,0,0,0,0,0,0.14145099,100.0,READY,,
IT,252,0,0,0,0,0,0,0.2755487,100.0,READY,,
ITB,252,0,1,0,0,0,0,0.07878917,95.0,REVIEW,1 rows violate OHLC relationships.,
ITOT,252,0,0,0,0,0,0,0.02978812,100.0,READY,,
ITW,252,0,0,0,0,0,0,0.05563761,100.0,READY,,
IVV,252,0,0,0,0,0,0,0.02879062,100.0,READY,,
IVZ,252,0,0,0,0,0,0,0.06324105,100.0,READY,,
IWD,252,0,0,0,0,0,0,0.0243216,100.0,READY,,
IWF,252,0,0,0,0,0,0,0.0376968,100.0,READY,,
IWM,252,0,0,0,0,0,0,0.03920875,100.0,READY,,
IYR,252,0,0,0,0,0,0,0.03130511,100.0,READY,,
J,252,0,0,0,0,0,0,0.10947952,100.0,READY,,
JBHT,252,0,0,0,0,0,0,0.22142192,100.0,READY,,
JBL,252,0,0,0,0,0,0,0.10401466,100.0,READY,,
JCI,252,0,0,0,0,0,0,0.0884366,100.0,READY,,
JEPI,252,0,0,0,0,0,0,0.01928521,100.0,READY,,
JEPQ,252,0,0,0,0,0,0,0.03254603,100.0,READY,,
JETS,252,0,0,0,0,0,0,0.07316033,100.0,READY,,
JKHY,252,0,0,0,0,0,0,0.0726643,100.0,READY,,
JNJ,252,0,0,0,0,0,0,0.03993792,100.0,READY,,
JPM,252,0,0,0,0,0,0,0.04663552,100.0,READY,,
